Sa04_184_BF11_BR22,Sa04_184_BF11_BR20,Sa04_214_BR24_BF13,Sa05_5_BF11_BR11,Sa05_35_BR13_BF13,Sa05_65_BF2B_BR2B,Sa05_95_BR22_BF21,Sa05_125_BF2B_BR10,Sa05_155_BR13_BF21,Order,Family,Genus,Species
73,3,0,11,0,0,10,4,0,Diptera,Chironomidae,Gymnometriocnemus kamimegavirgus,Gymnometriocnemus volitans
74,2311,4739,0,0,0,3,0,0,Diptera,Chironomidae,Natarsia punctata,Chironomidae sp. BOLD-2016
75,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Polypedilum pullum,Chironominae sp. BOLD:ACO2757
76,0,0,12856,5892,4184,7231,6046,3339,Diptera,Chironomidae,Conchapelopia hittmairorum,Conchapelopia sp. AJ-2011
77,1340,1724,8922,19935,979,1336,4732,8578,Diptera,Chironomidae,Orthocladius dentifer,Orthocladius sp. BOLD-2016
78,0,0,0,0,0,0,261,0,Diptera,Chironomidae,Orthocladius rubicundus,Orthocladius sp. BOLD-2016
79,4799,6113,0,0,0,11,0,0,Diptera,Chironomidae,Pseudodiamesa nivosa,Rheosmittia spinicornis
80,6,0,336,709,845,1024,443,398,Diptera,Chironomidae,Tvetenia tshernovskii,Cricotopus bimaculatus
81,3,0,5872,5457,1158,618,4477,3765,Diptera,Chironomidae,Thienemannimyia carnea,Thienemannimyia sp. 1ES
82,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Eukiefferiella brevicalcar,Simulium sp. BOLD-2016
83,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Corynoneura sp. 16ES,Corynoneura scutellata
84,0,0,0,0,0,1,0,0,Diptera,Chironomidae,Rheopelopia maculipennis,Tanypodinae sp. BOLD:ACN3016
85,0,0,344,792,2,23,49,171,Diptera,Chironomidae,Tvetenia calvescens,Tvetenia calvescens
86,0,0,4,0,0,0,0,0,Diptera,Chironomidae,Potthastia longimanus,Empididae sp. BOLD-2016
87,9150,12991,0,0,0,60,0,0,Diptera,NA,NA,Procladius signatus
88,1,0,15179,16301,5315,8690,9468,14890,Diptera,Chironomidae,Cricotopus bicinctus,Cricotopus bicinctus
89,430,387,0,0,0,3,0,0,Diptera,Chironomidae,Zavrelimyia sp. 1ES,Conchapelopia aagaardi
90,4730,5330,12,0,0,91,3,0,Diptera,Chironomidae,Microtendipes pedellus,Polypedilum sordens
91,33,70,0,0,0,0,0,0,Diptera,Chironomidae,Micropsectra klinki,Tanytarsus inextentus
92,0,0,0,0,0,0,42,0,Diptera,Chironomidae,Orthocladius oblidens,Orthocladius oblidens
93,2,0,0,0,0,2,0,0,Diptera,Chironomidae,Procladius nigriventris,Procladius nigriventris
94,179,421,0,0,0,1,0,0,Diptera,Chironomidae,Brillia bifida,Propsilocerus akamusi
95,0,0,1993,1454,1055,1015,11254,9979,Diptera,Chironomidae,Cricotopus triannulatus,Cricotopus triannulatus
96,1,0,0,0,0,1,0,0,Diptera,Chironomidae,Endochironomus albipennis,Endochironomus albipennis
97,0,0,3,0,0,2,0,0,Diptera,Chironomidae,Ablabesmyia longistyla,Anopheles maculatus
98,1,0,0,0,12,0,0,0,Diptera,Chironomidae,Diamesa sp. 3,Cheumatopsyche persica
99,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Brillia longifurca,Brillia sp. BOLD:AAI3832
100,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Polypedilum pedestre,Polypedilum cf. pedestre BOLD:AAW0978
101,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Brillia bifida,Orthocladiinae sp. BOLD:ACL7762
102,12,3,0,0,0,0,0,0,Diptera,Chironomidae,Heterotrissocladius marcidus,Heterotrissocladius sp. BOLD-2016
103,1,0,0,0,0,0,0,0,NA,NA,NA,Corynoneura sp. BOLD:AAI5884
104,0,0,1,0,0,0,0,0,Diptera,Chironomidae,Micropsectra appendica,Micropsectra appendica
105,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Rheotanytarsus,Rheotanytarsus sp. BOLD-2016
106,0,0,0,0,3,0,0,0,Diptera,Chironomidae,Natarsia punctata,Orthocladiinae sp. BOLD-2016
107,0,0,0,0,0,1,0,0,Diptera,Chironomidae,Rheotanytarsus ringei,Rheotanytarsus pentapoda
108,0,0,0,0,0,0,0,17,Diptera,Chironomidae,Rheopelopia sp. 1ES,Coelopynia sp. 1 MEC-2013
109,0,0,0,0,0,0,8,0,Diptera,Chironomidae,Tanytarsus brundini,Tanytarsus brundini
110,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Brillia longifurca,Brillia sp. BOLD:AAI3832
111,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Polypedilum nubeculosum,Polypedilum nubeculosum
112,547,1434,0,0,0,21,0,0,Diptera,Chironomidae,Apsectrotanypus trifascipennis,Orthocladiinae sp. BOLD-2016
113,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Phaenopsectra flavipes,Phaenopsectra flavipes
114,0,0,0,0,2,0,0,2,Diptera,Chironomidae,Rheotanytarsus pentapoda,Rheotanytarsus sp. BOLD-2016
115,0,0,0,0,5,0,0,0,Diptera,Chironomidae,Tanytarsus eminulus,Tanytarsus eminulus
116,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Micropsectra contracta,Micropsectra contracta
117,1,0,0,0,0,0,0,0,Diptera,Chironomidae,Tvetenia calvescens,Tvetenia calvescens
118,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Polypedilum albinodus,Chironominae sp. BOLD:ACD0914
119,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Thienemanniella vittata,Thienemanniella xena
120,865,1637,0,0,0,10,0,0,Diptera,Chironomidae,Procladius sp.,Chironomidae sp. BOLD-2016
121,0,1,1,0,0,0,0,0,Diptera,Chironomidae,Conchapelopia pallidula,Conchapelopia sp. BOLD:ACQ3496
122,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Virgatanytarsus arduennensis,Paratanytarsus sp. BOLD:ACD1709
123,0,0,0,0,1,0,0,3,Diptera,Chironomidae,Tvetenia verralli,Tvetenia paucunca
124,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Polypedilum convictum,Microtendipes pedellus
125,1,0,1,0,0,1,0,0,Diptera,Chironomidae,Dicrotendipes nervosus,Dicrotendipes nervosus
126,0,0,0,0,0,0,0,3,Diptera,Chironomidae,NA,Orthocladius rivulorum
127,1058,1090,0,0,0,2,0,0,Diptera,Chironomidae,Micropsectra notescens,Micropsectra notescens
128,0,0,0,0,0,0,0,0,Diptera,Chironomidae,NA,Paraphaenocladius irritus
129,0,0,0,0,0,0,0,4,Diptera,Chironomidae,Cricotopus skirwithensis,Cricotopus sp. BOLD:ACL4290
130,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Cricotopus annulator,Cricotopus sp. BOLD-2016
131,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Corynoneura sp. 7ES,Corynoneura sp. 7ES
132,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Limnophyes pentaplastus,Limnophyes pentaplastus
133,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Eukiefferiella claripennis,Eukiefferiella claripennis
134,0,0,1,0,0,0,1,0,Diptera,Chironomidae,Cricotopus bicinctus,Cricotopus bicinctus
135,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Trissopelopia longimana,Trissopelopia longimana
136,0,0,1,0,0,0,0,0,Diptera,Chironomidae,Chironomus,Chironomus sp. BOLD-2016
137,0,0,0,0,0,0,0,0,NA,NA,NA,Dicrotendipes nervosus
138,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Chaetocladius piger,Chaetocladius insolitus
139,0,0,112,86,25,83,24,131,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016
140,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Eukiefferiella dittmari,Eukiefferiella sp. BOLD-2016
141,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Corynoneura sp. 17ES,Corynoneura scutellata
142,0,0,0,0,0,0,0,0,NA,NA,NA,Orthocladiinae sp. BOLD-2016
143,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Parakiefferiella bathophila,Parakiefferiella bathophila
144,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Psectrocladius limbatellus,Orthocladiinae sp. BOLD-2016
145,0,0,0,0,0,0,0,0,Diptera,Chironomidae,NA,Chironomidae sp. BOLD:ABA0772
146,35,23,0,0,0,0,0,0,NA,NA,NA,Rheosmittia spinicornis
147,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Limnophyes sp. 13ES,Limnophyes sp. BOLD-2016
148,206,170,0,0,0,2,0,0,Diptera,Chironomidae,Tanytarsus signatus,Stempellinella edwardsi
149,0,0,0,0,9,0,0,0,Diptera,Chironomidae,Stictochironomus unguiculatus,Chironominae sp. BOLD-2016
150,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Micropsectra pallidula,Micropsectra pallidula
151,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Ablabesmyia,Chironominae sp. BOLD-2016
152,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Corynoneura edwardsi,Corynoneura carriana
153,68,90,1,0,0,1,0,0,NA,NA,NA,Chironominae sp. BOLD-2016
154,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Cricotopus sylvestris,Cricotopus sylvestris
155,0,0,0,0,0,0,1,0,NA,NA,NA,Orthocladius sp. BOLD-2016
156,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Thienemanniella majuscula,Orthocladiinae sp. BOLD-2016
157,0,0,0,0,0,0,0,0,NA,NA,NA,Tanytarsus sp. BOLD:ACU4288
158,27,11,19,8,0,0,0,0,Diptera,Chironomidae,Paratanytarsus dissimilis,Paratanytarsus inopertus
159,207,270,1,0,0,6,0,0,Diptera,Chironomidae,Microtendipes pedellus,Polypedilum sordens
160,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Micropsectra junci,Micropsectra junci
161,0,0,46,116,216,26,4,15,Diptera,Chironomidae,Parametriocnemus stylatus,Parametriocnemus sp. BOLD:ACC5534
162,0,0,0,0,2,0,0,0,Diptera,Chironomidae,NA,Chironomus tepperi
163,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Micropsectra roseiventris,Micropsectra roseiventris
164,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Nanocladius anderseni,Nanocladius anderseni
165,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Thienemanniella xena,Thienemanniella xena
166,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Psectrocladius sp. 6TE,Psectrocladius sordidellus
167,50,94,0,0,0,0,0,0,Diptera,Chironomidae,Tanytarsus heusdensis,Tanytarsus sp. BOLD:AAV3526
168,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Nanocladius rectinervis,Leptocera limosa
169,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Parametriocnemus stylatus,Chironomidae sp. BOLD-2016
170,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Procladius crassinervis,Procladius crassinervis
171,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Nanocladius minimus,Nanocladius anderseni
172,0,0,18443,25136,7197,10570,18417,22244,Diptera,Chironomidae,Conchapelopia hittmairorum,Conchapelopia sp. AJ-2011
173,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Polypedilum sordens,Polypedilum sordens
174,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Corynoneura,Chironomidae sp. BOLD:AAN5033
175,0,0,0,0,0,0,0,2,Diptera,Chironomidae,Rheotanytarsus pentapoda,Rheotanytarsus sp. BOLD:ACL3883
176,19,36,0,0,0,0,0,0,NA,NA,NA,Chironomidae sp. BOLD-2016
177,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Polypedilum nubeculosum,Polypedilum nubeculosum
178,0,0,2,1,35,4,49,23,Diptera,Chironomidae,Thienemannimyia carnea,Thienemannimyia sp. 1ES
179,0,0,0,0,0,0,0,0,NA,NA,NA,Rheotanytarsus sp. BOLD:ACL3883
180,0,0,0,0,0,0,0,0,Diptera,Chironomidae,Phaenopsectra flavipes,Phaenopsectra flavipes
181,0,0,3,0,237,120,925,854,Diptera,Chironomidae,Thienemannimyia carnea,Thienemannimyia sp. 1ES
182,0,0,0,0,0,0,0,0,Trichoptera,Polycentropodidae,Cyrnus trimaculatus,Cyrnus trimaculatus
183,0,2,0,0,2,0,0,147,Diptera,Pediciidae,Dicranota robusta,Dicranota sp. BOLD-2016
184,1,0,0,0,0,1,0,0,Diptera,Pediciidae,Dicranota bimaculata,Dicranota sp. BOLD:AAD0480
185,1,0,3,0,0,38,0,0,Diptera,Hybotidae,Oedalea zetterstedti,Oedalea zetterstedti
186,89,0,1,0,0,0,0,0,NA,NA,NA,Scathophaga stercoraria
187,1306,1044,0,0,0,54,0,0,NA,NA,NA,Chironomidae sp. BOLD-2016
188,0,0,1,0,0,2,0,0,Diptera,Opomyzidae,Opomyza nigriventris,Wiedemannia bohemani
189,0,0,0,0,0,0,0,0,NA,NA,NA,Polypedilum sp. BOLD-2016
190,0,0,0,0,0,0,15,0,Diptera,Chironomidae,Phaenopsectra punctipes,Chironominae sp. BOLD:ACD0914
191,90,81,2,0,0,0,0,0,NA,NA,NA,Limnophora olympiae
192,0,0,28,1,0,0,0,0,NA,NA,NA,Orthocladiinae sp. BOLD-2016
193,0,0,79,5,0,0,0,0,NA,NA,NA,Orthocladius sp. BOLD-2016
194,73,190,0,0,0,0,0,0,NA,NA,NA,Limnophora olympiae
195,17,43,0,0,0,0,0,0,NA,NA,NA,Limnophora olympiae
196,1,14,0,0,0,0,0,0,NA,NA,NA,Limnophora olympiae
197,0,0,0,0,0,0,0,0,Diptera,Phoridae,Megaselia sp. BOLDABX804,Wiedemannia bohemani
198,0,0,0,0,0,0,0,0,NA,NA,NA,Limnophora olympiae
199,0,0,0,0,0,0,0,0,Diptera,Cecidomyiidae,NA,Cecidomyiidae sp. BOLD-2016
200,3,17,0,0,0,0,0,0,NA,NA,NA,Diptera sp. JNPetit-1194
201,188,134,0,0,0,1,0,0,NA,NA,NA,Cladotanytarsus mancus
202,0,0,0,0,0,0,0,0,NA,NA,NA,Orthocladius sp. BOLD-2016
203,0,0,0,0,0,0,0,0,NA,NA,NA,Chironominae sp. BOLD:AAP3003
204,0,0,0,0,0,0,0,0,NA,NA,NA,Limnophora olympiae
205,0,0,0,0,0,0,0,0,NA,NA,NA,Limnophora olympiae
206,0,0,0,0,0,0,0,0,NA,NA,NA,Limnophora olympiae
207,0,0,0,0,0,0,0,0,Diptera,Hybotidae,Bicellaria lugubris,Oedalea zetterstedti
208,10,2,0,0,0,0,0,0,NA,NA,NA,Limnophora olympiae
209,0,0,0,0,0,0,0,0,NA,NA,NA,Pollenia amentaria
210,1,1,0,0,0,0,0,0,NA,NA,NA,Limnophora olympiae
211,0,0,1,0,0,1,0,0,NA,NA,NA,Limnophora olympiae
212,1,0,0,0,0,0,0,0,NA,NA,NA,Limnophora olympiae
213,15,26,0,0,0,0,0,0,NA,NA,NA,Chironomidae sp. BOLD-2016
214,0,0,0,0,0,0,0,0,NA,NA,NA,Limnophora olympiae
215,0,0,0,0,0,0,0,0,Plecoptera,Perlodidae,Diura nanseni,Diura bicaudata
216,3,0,0,0,0,1,2,223,Plecoptera,Perlodidae,Diura nanseni,Diura bicaudata
217,0,0,0,0,0,0,0,0,Plecoptera,Perlodidae,Diura nanseni,Diura bicaudata
218,0,0,0,0,0,0,0,1,Plecoptera,Perlodidae,Diura nanseni,Diura bicaudata
219,0,0,0,0,0,0,0,0,Plecoptera,Perlodidae,Diura nanseni,Diura bicaudata
220,0,5,31789,85075,6924,9807,30882,50239,Coleoptera,Elmidae,Elmis aenea,Elmis aenea
221,0,0,0,0,0,0,0,5,Diptera,Limoniidae,Eloeophila trimaculata,Tanypus kraatzi
222,16,6,0,0,0,1,0,0,Diptera,Limoniidae,Eloeophila maculata,Anopheles lindesayi
223,7,0,8,0,0,12,0,0,Ephemeroptera,Ephemeridae,Ephemera vulgata,Ephemera vulgata
224,0,0,0,0,0,0,0,0,Ephemeroptera,Ephemeridae,Ephemera vulgata,Ephemera vulgata
225,0,0,0,0,0,0,0,0,Ephemeroptera,Ephemeridae,Ephemera vulgata,Ephemera vulgata
226,0,0,0,0,0,0,0,0,Ephemeroptera,Ephemeridae,Ephemera vulgata,Ephemera vulgata
227,0,0,0,0,0,0,0,0,Ephemeroptera,Ephemeridae,Ephemera vulgata,Ephemera vulgata
228,4,0,0,0,31,0,0,2,Ephemeroptera,Ephemerellidae,Ephemerella mucronata,Ephemerella mucronata
229,0,0,0,0,0,0,0,172,Amphipoda,Gammaridae,Gammarus pulex,Gammarus pulex
230,0,0,0,0,0,0,0,0,Hemiptera,Gerridae,Gerris lacustris,Gerris lacustris
231,0,0,0,0,0,0,0,0,Hemiptera,Gerridae,Gerris lacustris,Gerris lacustris
232,0,0,0,0,0,0,0,2,Trichoptera,Glossosomatidae,Glossosoma intermedium,Glossosoma intermedium
233,0,0,1,0,0,0,0,0,Odonata,Gomphidae,Gomphus vulgatissimus,Gomphus vulgatissimus
234,0,0,0,0,0,0,0,0,NA,NA,NA,Onychogomphus forcipatus
235,0,0,0,0,0,0,0,0,Basommatophora,Planorbidae,Gyraulus sp.,Gyraulus sp. 17106
236,0,0,50,0,0,8,76,0,Coleoptera,Gyrinidae,Orectochilus villosus,Orectochilus villosus
237,0,0,7,0,0,0,47,1,NA,NA,NA,Orectochilus villosus
238,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
239,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
240,0,0,0,0,0,0,0,0,Coleoptera,Gyrinidae,Orectochilus villosus,Orectochilus villosus
241,0,0,1,0,0,0,3,0,NA,NA,NA,Orectochilus villosus
242,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
243,0,0,0,0,0,0,1,0,NA,NA,NA,Orectochilus villosus
244,0,0,5,0,0,0,5,0,Coleoptera,Gyrinidae,Orectochilus villosus,Orectochilus villosus
245,0,0,0,0,0,0,1,0,NA,NA,NA,Orectochilus villosus
246,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
247,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
248,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
249,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
250,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
251,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
252,0,0,0,0,0,1,0,0,NA,NA,NA,Orectochilus villosus
253,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
254,0,0,0,0,0,1,1,0,NA,NA,NA,Orectochilus villosus
255,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
256,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
257,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
258,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
259,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
260,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
261,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
262,0,0,0,0,0,1,0,0,NA,NA,NA,Orectochilus villosus
263,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
264,0,0,2,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
265,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
266,0,0,0,0,0,0,1,0,NA,NA,NA,Orectochilus villosus
267,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
268,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
269,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
270,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
