TaxonomyID,TaxonomyName,TaxonomyRank,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8
170610,Halomicronema,genus,2,0,2,0,2,0,2,0
1114575,Knoellia sp. LC488,species,1,0,1,0,1,0,1,0
904074,environmental samples,no rank,1,0,1,0,1,0,1,0
57493,Kocuria,genus,171,35,171,35,171,35,171,35
326457,unclassified Verrucomicrobia,no rank,2,0,2,0,2,0,2,0
634815,Sphingomonas sp. 1Ucecto5,species,1,0,1,0,1,0,1,0
119977,Acidithiobacillus,genus,5,1,5,1,5,1,5,1
34064,Francisellaceae,family,10,0,10,0,10,0,10,0
754482,environmental samples,no rank,1,0,1,0,1,0,1,0
143067,Methanosaetaceae,family,2,0,2,0,2,0,2,0
648790,Shinella sp. ST33,species,1,0,1,0,1,0,1,0
29394,Dolosigranulum pigrum,species,2,0,2,0,2,0,2,0
50714,Acidisphaera,genus,1,0,1,0,1,0,1,0
310067,uncultured Anaerolineaceae bacterium,species,1,0,1,0,1,0,1,0
211115,Pseudomonas sp. RE59,species,2,0,2,0,2,0,2,0
596767,Hydrogenoanaerobacterium,genus,1,0,1,0,1,0,1,0
1198314,Streptococcus sp. NDRI-PAPB 14,species,1,0,1,0,1,0,1,0
706435,Capnocytophaga sp. oral taxon 329,species,3,2,3,2,3,2,3,2
412045,uncultured Cystobacteraceae bacterium,species,15,0,15,0,15,0,15,0
412057,environmental samples,no rank,2,0,2,0,2,0,2,0
84372,environmental samples,no rank,10,2,10,2,10,2,10,2
340359,uncultured Leifsonia sp.,species,2,0,2,0,2,0,2,0
113056,Lactobacillus sp. GTP5,species,36,0,36,0,36,0,36,0
60133,Prevotella pallens,species,1,0,1,0,1,0,1,0
197513,environmental samples,no rank,464,0,464,0,464,0,464,0
619740,Comamonadaceae bacterium L-1031,species,1,0,1,0,1,0,1,0
53354,Streptococcus gallolyticus subsp. gallolyticus,subspecies,0,2,0,2,0,2,0,2
2369,Arhodomonas aquaeolei,species,3,0,3,0,3,0,3,0
33968,Leuconostoc pseudomesenteroides,species,1,0,1,0,1,0,1,0
206349,Hydrogenophilaceae,family,10,0,10,0,10,0,10,0
670996,Pseudomonas sp. VS05_13,species,15,0,15,0,15,0,15,0
563442,Rhizobiaceae bacterium M318,species,3,0,3,0,3,0,3,0
671226,Streptococcus sp. oral taxon 070,species,1,0,1,0,1,0,1,0
294,Pseudomonas fluorescens,species,77,0,77,0,77,0,77,0
134350,hydrogen production community clone HPB-G1-14,species,8,1,8,1,8,1,8,1
729,Haemophilus parainfluenzae,species,8,0,8,0,8,0,8,0
745003,environmental samples,no rank,1,0,1,0,1,0,1,0
422177,Sphingobacteriales genera incertae sedis,no rank,1,0,1,0,1,0,1,0
503948,Pseudomonas sp. a215,species,1,0,1,0,1,0,1,0
239729,uncultured Microbacteriaceae bacterium,species,3,0,3,0,3,0,3,0
436303,Staphylococcus sp. CECRI-16/07,species,2,0,2,0,2,0,2,0
237,Flavobacterium,genus,5,0,5,0,5,0,5,0
317,Pseudomonas syringae,species,10,1,10,1,10,1,10,1
575424,uncultured Conexibacteraceae bacterium,species,10,0,10,0,10,0,10,0
1146893,Rhodobacter sp. JA745,species,1,0,1,0,1,0,1,0
186813,unclassified Clostridiales,no rank,10,0,10,0,10,0,10,0
1110546,Veillonella tobetsuensis,species,5,0,5,0,5,0,5,0
47938,environmental samples,no rank,10,0,10,0,10,0,10,0
688,Aliivibrio logei,species,2,0,2,0,2,0,2,0
52133,Acinetobacter venetianus,species,1,0,1,0,1,0,1,0
191215,uncultured Alcanivorax sp.,species,2,0,2,0,2,0,2,0
1232,Nitrosovibrio,genus,2,0,2,0,2,0,2,0
34072,Variovorax,genus,2,0,2,0,2,0,2,0
499850,Geitlerinema cf. pseudacutissimum CCALA 142,no rank,1,0,1,0,1,0,1,0
140984,environmental samples,no rank,16,0,16,0,16,0,16,0
80843,environmental samples,no rank,1,0,1,0,1,0,1,0
97500,environmental samples,no rank,171,0,171,0,171,0,171,0
1165856,Lyngbya wollei SG,no rank,2,0,2,0,2,0,2,0
748033,Lyngbya majuscula NAC8-47,no rank,1,0,1,0,1,0,1,0
170015,environmental samples,no rank,13,0,13,0,13,0,13,0
188710,Thermodesulfobacteriales,order,1,0,1,0,1,0,1,0
102106,Collinsella,genus,5,2,5,2,5,2,5,2
1048746,Pseudomonas sp. AIC8-6,species,1,0,1,0,1,0,1,0
491150,uncultured Kaistobacter sp.,species,2,0,2,0,2,0,2,0
218202,environmental samples,no rank,1,0,1,0,1,0,1,0
42881,Streptomyces chromofuscus,species,1,0,1,0,1,0,1,0
1033,Afipia,genus,12,2,12,2,12,2,12,2
732140,Anabaena sedovii,species,2,0,2,0,2,0,2,0
194846,uncultured Enterobacteriales bacterium,species,2,0,2,0,2,0,2,0
157175,environmental samples,no rank,1,0,1,0,1,0,1,0
470,Acinetobacter baumannii,species,7,0,7,0,7,0,7,0
209,Helicobacter,genus,29,0,29,0,29,0,29,0
349923,environmental samples,no rank,3,0,3,0,3,0,3,0
338,Xanthomonas,genus,12,0,12,0,12,0,12,0
75663,environmental samples,no rank,1,1,1,1,1,1,1,1
89306,environmental samples,no rank,41,1,41,1,41,1,41,1
504637,Nocardioides sp. Pc7,species,3,0,3,0,3,0,3,0
29488,Photorhabdus luminescens,species,3,0,3,0,3,0,3,0
234323,bacterium Ellin6057,species,1,0,1,0,1,0,1,0
158786,Lyngbya majuscula,species,1,0,1,0,1,0,1,0
105840,butyrate-producing bacterium L2-10,species,1,0,1,0,1,0,1,0
59892,Treponema amylovorum,species,2,0,2,0,2,0,2,0
292276,environmental samples,no rank,6,0,6,0,6,0,6,0
592834,uncultured Opitutales bacterium,species,4,0,4,0,4,0,4,0
204429,Chlamydiia,class,4,0,4,0,4,0,4,0
137,Spirochaetaceae,family,23,1,23,1,23,1,23,1
417998,environmental samples,no rank,3,0,3,0,3,0,3,0
412396,uncultured Actinoplanes sp.,species,2,0,2,0,2,0,2,0
123061,uncultured rumen bacterium 5cARRO,species,2,0,2,0,2,0,2,0
1118545,Bacillus sp. HM03,species,2,0,2,0,2,0,2,0
112,Planctomycetales,order,212,66,212,66,212,66,212,66
2722,unidentified proteobacterium,species,1,0,1,0,1,0,1,0
32008,Burkholderia,genus,18,0,18,0,18,0,18,0
83780,unclassified Kineosporiaceae,no rank,4,0,4,0,4,0,4,0
749208,Dolichospermum lemmermannii 04-24,no rank,5,0,5,0,5,0,5,0
293405,uncultured Sphingomonadales bacterium,species,62,0,62,0,62,0,62,0
659876,Corynebacterium sp. ICIRC105,species,1,0,1,0,1,0,1,0
88278,Bacillus sp. IDA234/600,species,1,0,1,0,1,0,1,0
351,Azotobacter group,subfamily,2,0,2,0,2,0,2,0
334579,environmental samples,no rank,2,0,2,0,2,0,2,0
1655,Actinomyces naeslundii,species,6,2,6,2,6,2,6,2
501783,Cloacibacterium,genus,2,0,2,0,2,0,2,0
146936,Azonexus,genus,1,0,1,0,1,0,1,0
85029,Dietziaceae,family,69,34,69,34,69,34,69,34
712226,Capnocytophaga sp. oral taxon G02,species,2,0,2,0,2,0,2,0
949,Anaplasma platys,species,1,0,1,0,1,0,1,0
1567,Quinella,genus,1,0,1,0,1,0,1,0
649559,environmental samples,no rank,1,0,1,0,1,0,1,0
57723,Acidobacteria,phylum,259,16,259,16,259,16,259,16
526524,Erysipelotrichia,class,15,0,15,0,15,0,15,0
141382,environmental samples,no rank,3,0,3,0,3,0,3,0
360759,Kocuria sp. HPC975,species,2,0,2,0,2,0,2,0
934385,Pseudomonas sp. SGb210y,species,3,0,3,0,3,0,3,0
80840,Burkholderiales,order,397,63,397,63,397,63,397,63
259943,environmental samples,no rank,4,1,4,1,4,1,4,1
481164,uncultured Thermovirga sp.,species,1,0,1,0,1,0,1,0
530834,Pseudomonas sp. 01WB03.1-2,species,1,0,1,0,1,0,1,0
179018,alpha proteobacterium Kaza-35,species,1,0,1,0,1,0,1,0
99479,Tetrasphaera,genus,10,0,10,0,10,0,10,0
98160,environmental samples,no rank,3,1,3,1,3,1,3,1
1266,Sarcina,genus,356,0,356,0,356,0,356,0
224577,environmental samples,no rank,3,1,3,1,3,1,3,1
287,Pseudomonas aeruginosa,species,64,0,64,0,64,0,64,0
85025,Nocardiaceae,family,227,71,227,71,227,71,227,71
442861,environmental samples,no rank,17,0,17,0,17,0,17,0
1150364,Bacillus sp. PHLE-5,species,1,0,1,0,1,0,1,0
183212,environmental samples,no rank,248,0,248,0,248,0,248,0
1150564,Rhizobium sp. MN4-3,species,33,0,33,0,33,0,33,0
204,Campylobacter showae,species,2,1,2,1,2,1,2,1
370735,Zhihengliuella,genus,2,0,2,0,2,0,2,0
470072,gamma proteobacterium SP5,species,1,0,1,0,1,0,1,0
414715,Actinospica,genus,1,0,1,0,1,0,1,0
40903,environmental samples,no rank,189,21,189,21,189,21,189,21
1055468,Pseudomonas sp. CCM 7891,species,1,0,1,0,1,0,1,0
671225,Selenomonas sp. oral taxon 140,species,1,0,1,0,1,0,1,0
886129,Aeromicrobium sp. 67(2010),species,2,0,2,0,2,0,2,0
437755,Moryella,genus,3,0,3,0,3,0,3,0
21,Phenylobacterium immobile,species,2,0,2,0,2,0,2,0
31957,Propionibacteriaceae,family,155,8,155,8,155,8,155,8
135065,environmental samples,no rank,3,0,3,0,3,0,3,0
92713,Parachlamydiaceae,family,2,0,2,0,2,0,2,0
204455,Rhodobacterales,order,44,12,44,12,44,12,44,12
655305,environmental samples,no rank,1,0,1,0,1,0,1,0
985718,Rhodocista sp. CAJ2-2,species,1,0,1,0,1,0,1,0
74201,Verrucomicrobia,phylum,43,23,43,23,43,23,43,23
68346,environmental samples,no rank,3,0,3,0,3,0,3,0
157280,uncultured Erythromicrobium sp.,species,3,0,3,0,3,0,3,0
1134404,Ignavibacteriae,phylum,1,0,1,0,1,0,1,0
436912,Acinetobacter sp. CU27,species,1,0,1,0,1,0,1,0
1151666,Lachnospiraceae bacterium canine oral taxon 263,species,1,0,1,0,1,0,1,0
224464,Kofleriaceae,family,2,0,2,0,2,0,2,0
184421,environmental samples,no rank,4,0,4,0,4,0,4,0
332354,uncultured Methylosinus sp.,species,2,0,2,0,2,0,2,0
705306,uncultured Candidatus Koribacter sp.,species,2,0,2,0,2,0,2,0
151985,uncultured Rhodocyclaceae bacterium,species,12,0,12,0,12,0,12,0
1160981,Pseudomonas sp. IOCa1,species,1,0,1,0,1,0,1,0
74152,Elusimicrobia,phylum,6,0,6,0,6,0,6,0
145357,Dermacoccaceae,family,27,1,27,1,27,1,27,1
Not assigned due to threshold,,,0,11298,0,11298,0,11298,0,11298
31,Myxococcaceae,family,10,0,10,0,10,0,10,0
291423,environmental samples,no rank,1,0,1,0,1,0,1,0
83541,Mastigocladus laminosus,species,1,0,1,0,1,0,1,0
367298,Phycicoccus,genus,1,0,1,0,1,0,1,0
1263,Ruminococcus,genus,6,0,6,0,6,0,6,0
1082897,Erythrobacter sp. SG-18g,species,1,0,1,0,1,0,1,0
999514,Pseudomonas sp. OSG41,species,1,0,1,0,1,0,1,0
701142,Peptostreptococcus sp. oral clone 12-69,species,2,0,2,0,2,0,2,0
189680,uncultured Brachybacterium sp.,species,1,0,1,0,1,0,1,0
483929,Acinetobacter sp. LR30,species,1,0,1,0,1,0,1,0
194,Campylobacter,genus,7,5,7,5,7,5,7,5
658094,Pseudomonas sp. SLK,species,1,0,1,0,1,0,1,0
43996,Catonella,genus,5,0,5,0,5,0,5,0
71999,Kocuria palustris,species,2,0,2,0,2,0,2,0
99283,environmental samples,no rank,5,0,5,0,5,0,5,0
415996,Shinella yambaruensis,species,1,0,1,0,1,0,1,0
358106,Haemophilus sp. oral clone ASCB01,species,3,0,3,0,3,0,3,0
359372,uncultured Salinisphaera sp.,species,7,0,7,0,7,0,7,0
81850,Leuconostocaceae,family,5,2,5,2,5,2,5,2
86027,uncultured beta proteobacterium,species,360,5,360,5,360,5,360,5
269798,Cytophaga hutchinsonii ATCC 33406,no rank,1,0,1,0,1,0,1,0
33936,Aeribacillus pallidus,species,1,0,1,0,1,0,1,0
254352,uncultured Gemella sp.,species,20,0,20,0,20,0,20,0
575416,uncultured Fusobacteriaceae bacterium,species,1,0,1,0,1,0,1,0
452434,environmental samples,no rank,1,0,1,0,1,0,1,0
197516,uncultured Bacillaceae bacterium,species,67,0,67,0,67,0,67,0
904176,Staphylococcus sp. 2008-01-1056-2,species,1,0,1,0,1,0,1,0
872284,rumen bacterium IVRI-RM-1007,species,1,0,1,0,1,0,1,0
712985,Lachnospiraceae bacterium oral taxon 107,species,2,0,2,0,2,0,2,0
341784,Brevibacterium sp. SK8B2,species,2,0,2,0,2,0,2,0
1177,Nostoc,genus,13,1,13,1,13,1,13,1
200666,Sphingobacteriales,order,24,4,24,4,24,4,24,4
68287,Mesorhizobium,genus,6,1,6,1,6,1,6,1
181497,Alfalfa witches'-broom phytoplasma,species,3,0,3,0,3,0,3,0
1163856,Actinomyces sp. 'ARUP UnID 95',species,2,0,2,0,2,0,2,0
1142283,Acinetobacter sp. AaM1c,species,6,0,6,0,6,0,6,0
197502,uncultured Alcaligenaceae bacterium,species,3,0,3,0,3,0,3,0
44825,Microcystis holsatica,species,1,0,1,0,1,0,1,0
395522,environmental samples,no rank,13,0,13,0,13,0,13,0
306,Pseudomonas sp.,species,41,0,41,0,41,0,41,0
239744,uncultured Bdellovibrio sp.,species,3,0,3,0,3,0,3,0
1178514,Hymenobacter sp. DY35,species,2,0,2,0,2,0,2,0
1357,Lactococcus,genus,51,11,51,11,51,11,51,11
158752,environmental samples,no rank,1,0,1,0,1,0,1,0
1358,Lactococcus lactis,species,22,5,22,5,22,5,22,5
2701,Gardnerella,genus,6,4,6,4,6,4,6,4
194372,environmental samples,no rank,1,0,1,0,1,0,1,0
1696,Brevibacterium,genus,52,4,52,4,52,4,52,4
111782,Tolypothrix,genus,1,0,1,0,1,0,1,0
1346,Streptococcus iniae,species,1,0,1,0,1,0,1,0
910939,Streptococcus sp. HKU30,species,3,0,3,0,3,0,3,0
518746,Limibacter,genus,1,0,1,0,1,0,1,0
293404,environmental samples,no rank,62,0,62,0,62,0,62,0
1847,Pseudonocardia,genus,1,0,1,0,1,0,1,0
89308,environmental samples,no rank,2,0,2,0,2,0,2,0
538998,Pasteuriaceae,family,2,0,2,0,2,0,2,0
712333,Lactobacillus sp. oral taxon 418,species,1,0,1,0,1,0,1,0
83668,selenate-reducing bacterium JSA,species,1,0,1,0,1,0,1,0
712724,Treponema sp. oral taxon 237,species,1,0,1,0,1,0,1,0
1216245,Pseudomonas sp. Wash8.1,species,2,0,2,0,2,0,2,0
135001,environmental samples,no rank,5,0,5,0,5,0,5,0
89772,Aquamicrobium lusatiense,species,5,0,5,0,5,0,5,0
711613,gamma proteobacterium 2.1.24_I,species,1,0,1,0,1,0,1,0
153232,Oceanicaulis,genus,1,0,1,0,1,0,1,0
584783,Coriobacterium sp. AUH-Julong21,species,2,0,2,0,2,0,2,0
348577,environmental samples,no rank,1,0,1,0,1,0,1,0
47879,Pseudomonas corrugata,species,7,0,7,0,7,0,7,0
453409,environmental samples,no rank,1,0,1,0,1,0,1,0
259309,uncultured Nocardia sp.,species,1,0,1,0,1,0,1,0
1162,Nostocaceae,family,102,38,102,38,102,38,102,38
2733,Symbiobacterium,genus,1,0,1,0,1,0,1,0
1279,Staphylococcus,genus,279,70,279,70,279,70,279,70
114243,uncultured euryarchaeote,species,4,0,4,0,4,0,4,0
1160952,uncultured Candidatus Competibacter sp.,species,1,0,1,0,1,0,1,0
672,Vibrio vulnificus,species,1,0,1,0,1,0,1,0
201174,Actinobacteria,phylum,3651,1721,3651,1721,3651,1721,3651,1721
397417,Pseudomonas sp. LBUM251,species,1,0,1,0,1,0,1,0
271085,uncultured Hydrogenophilaceae bacterium,species,1,0,1,0,1,0,1,0
1034264,Pseudomonas sp. DJM1B11,species,2,0,2,0,2,0,2,0
349922,uncultured Carnobacteriaceae bacterium,species,5,0,5,0,5,0,5,0
447593,Thermoanaerobacter uzonensis,species,2,0,2,0,2,0,2,0
1585,Lactobacillus delbrueckii subsp. bulgaricus,subspecies,591,56,591,56,591,56,591,56
169977,uncultured Bacteroidetes/Chlorobi group bacterium,species,3,0,3,0,3,0,3,0
42055,Chromohalobacter marismortui,species,1,0,1,0,1,0,1,0
530099,actinobacterium X19(2008),species,1,0,1,0,1,0,1,0
431555,Sporichthya sp. KAR54,species,1,0,1,0,1,0,1,0
1042251,Nocardioides sp. ATD6,species,2,0,2,0,2,0,2,0
53370,Pilimelia,genus,1,0,1,0,1,0,1,0
337218,environmental samples,no rank,3,0,3,0,3,0,3,0
1400827,Plasticicumulans,genus,4,0,4,0,4,0,4,0
219687,Gemmatimonadaceae,family,3,0,3,0,3,0,3,0
136099,Knoellia,genus,18,0,18,0,18,0,18,0
151376,uncultured feedlot manure bacterium B81,species,1,0,1,0,1,0,1,0
360907,uncultured Gallionella sp.,species,2,0,2,0,2,0,2,0
1172359,Kocuria sp. BVB03,species,22,0,22,0,22,0,22,0
54522,environmental samples,no rank,35,3,35,3,35,3,35,3
157294,uncultured Desulfotomaculum sp.,species,1,0,1,0,1,0,1,0
136,Spirochaetales,order,30,3,30,3,30,3,30,3
1120687,Rhizobium sp. LC003,species,1,0,1,0,1,0,1,0
543349,Clostridiales Family XVIII. Incertae Sedis,family,1,0,1,0,1,0,1,0
246142,environmental samples,no rank,2,0,2,0,2,0,2,0
454937,environmental samples,no rank,1,0,1,0,1,0,1,0
1633,Lactobacillus vaginalis,species,1,0,1,0,1,0,1,0
90372,Thiomargarita,genus,1,0,1,0,1,0,1,0
165188,uncultured Megasphaera sp.,species,3,0,3,0,3,0,3,0
1147805,cyanobacterium enrichment culture clone 1_16_1.1.3_T7,species,24,0,24,0,24,0,24,0
159268,uncultured Veillonella sp.,species,101,0,101,0,101,0,101,0
327681,Capnocytophaga sp. AHN9647,species,2,0,2,0,2,0,2,0
254245,Aquicella,genus,1,0,1,0,1,0,1,0
186475,Kouleothrix,genus,3,0,3,0,3,0,3,0
85016,Cellulomonadaceae,family,54,4,54,4,54,4,54,4
443075,uncultured Dyadobacter sp.,species,6,0,6,0,6,0,6,0
129685,environmental samples,no rank,6,0,6,0,6,0,6,0
351360,uncultured Dyella sp.,species,3,0,3,0,3,0,3,0
53244,Desulfonatronovibrio,genus,1,0,1,0,1,0,1,0
189714,environmental samples,no rank,2,0,2,0,2,0,2,0
463277,Synechococcus nidulans,species,1,0,1,0,1,0,1,0
374225,gamma proteobacterium D12,species,1,0,1,0,1,0,1,0
286,Pseudomonas,genus,1624,29,1624,29,1624,29,1624,29
114707,uncultured Pseudomonas sp.,species,672,3,672,3,672,3,672,3
1170009,Actinomycetospora sp. L1879,species,2,0,2,0,2,0,2,0
332159,Solibacteres,class,1,0,1,0,1,0,1,0
1239,Firmicutes,phylum,11344,7030,11344,7030,11344,7030,11344,7030
152062,uncultured Lake Michigan sediment bacterium LMBA47,species,1,0,1,0,1,0,1,0
395518,environmental samples,no rank,23,0,23,0,23,0,23,0
678,Vibrio sp.,species,1,0,1,0,1,0,1,0
575321,Sphingomonas sp. IMER-A1-27,species,1,0,1,0,1,0,1,0
726,Haemophilus haemolyticus,species,6,0,6,0,6,0,6,0
49276,environmental samples,no rank,2,0,2,0,2,0,2,0
310071,uncultured Acidimicrobiales bacterium,species,4,0,4,0,4,0,4,0
254435,environmental samples,no rank,1,0,1,0,1,0,1,0
293,Brevundimonas diminuta,species,1,0,1,0,1,0,1,0
413566,Oxalobacter sp. P-154,species,2,0,2,0,2,0,2,0
1097425,uncultured Desmospora sp.,species,1,0,1,0,1,0,1,0
310070,environmental samples,no rank,4,0,4,0,4,0,4,0
1134755,Pseudomonas sp. enrichment culture clone 18(2012),species,1,0,1,0,1,0,1,0
305093,Actinobacteridae bacterium Ellin7012,species,1,0,1,0,1,0,1,0
201136,Paenibacillus sp. DV29,species,2,0,2,0,2,0,2,0
198443,uncultured Terrabacter sp.,species,2,0,2,0,2,0,2,0
310699,environmental samples,no rank,6,0,6,0,6,0,6,0
163523,environmental samples,no rank,53,0,53,0,53,0,53,0
417612,uncultured Filifactor sp.,species,1,0,1,0,1,0,1,0
50709,Acidocella,genus,2,0,2,0,2,0,2,0
75671,environmental samples,no rank,2,0,2,0,2,0,2,0
1309,Streptococcus mutans,species,11,0,11,0,11,0,11,0
1579,Lactobacillus acidophilus,species,232,108,232,108,232,108,232,108
208379,Bradyrhizobium sp. Pha-5,species,1,0,1,0,1,0,1,0
186803,Lachnospiraceae,family,58,8,58,8,58,8,58,8
453121,environmental samples,no rank,5,0,5,0,5,0,5,0
1176538,Roseomonas sp. FW-3,species,6,0,6,0,6,0,6,0
49184,Kineosporia,genus,22,0,22,0,22,0,22,0
146784,Bacteriovorax,genus,2,0,2,0,2,0,2,0
712246,Corynebacterium sp. oral taxon B00,species,1,0,1,0,1,0,1,0
377315,Mariprofundus,genus,1,0,1,0,1,0,1,0
237435,Pseudomonas filiscindens,species,2,0,2,0,2,0,2,0
296822,environmental samples,no rank,1,0,1,0,1,0,1,0
29391,Gemella morbillorum,species,4,1,4,1,4,1,4,1
114052,environmental samples,no rank,7,0,7,0,7,0,7,0
469322,Steroidobacter,genus,2,0,2,0,2,0,2,0
1118123,environmental samples,no rank,3,0,3,0,3,0,3,0
337819,environmental samples,no rank,4,0,4,0,4,0,4,0
995033,Duganella sp. CGMCC 1.9685,species,4,0,4,0,4,0,4,0
936232,Actinospica sp. 645103,species,1,0,1,0,1,0,1,0
1080072,Streptococcus dentasini,species,1,0,1,0,1,0,1,0
983594,Burkholderia cepacia ATCC 25416,no rank,2,0,2,0,2,0,2,0
88139,Modestobacter multiseptatus,species,4,0,4,0,4,0,4,0
1190,Fischerella,genus,23,0,23,0,23,0,23,0
418005,uncultured Nakamurellaceae bacterium,species,2,0,2,0,2,0,2,0
32064,Chloroflexales,order,17,0,17,0,17,0,17,0
1293499,Nitrospinales,order,1,0,1,0,1,0,1,0
165779,Anaerococcus,genus,10,4,10,4,10,4,10,4
1185795,Lactococcus sp. enrichment culture clone V-S4_2-35,species,2,0,2,0,2,0,2,0
1707,Cellulomonas,genus,49,0,49,0,49,0,49,0
1578,Lactobacillus,genus,1730,1205,1730,1205,1730,1205,1730,1205
153809,uncultured proteobacterium,species,270,10,270,10,270,10,270,10
221285,Westiellopsis,genus,6,0,6,0,6,0,6,0
925396,cyanobacterium cCLB-12,species,4,0,4,0,4,0,4,0
263855,unclassified Lactobacillales (miscellaneous),no rank,18,0,18,0,18,0,18,0
927632,Sphingomonas sp. EDB-LI1,species,1,0,1,0,1,0,1,0
1854,Frankia,genus,8,0,8,0,8,0,8,0
1172977,Rhizobium sp. CCNWQLS01,species,2,0,2,0,2,0,2,0
1142,Synechocystis,genus,1,0,1,0,1,0,1,0
76760,Pseudomonas rhodesiae,species,1,0,1,0,1,0,1,0
1221935,Deinococcus sp. SON-1304,species,1,0,1,0,1,0,1,0
1182,Scytonemataceae,family,30,0,30,0,30,0,30,0
163530,environmental samples,no rank,2,0,2,0,2,0,2,0
758921,Cellulomonas sp. NII-1013,species,2,0,2,0,2,0,2,0
1185833,Staphylococcus sp. enrichment culture clone S1_22,species,5,0,5,0,5,0,5,0
53371,Pilimelia anulata,species,1,0,1,0,1,0,1,0
85019,Brevibacteriaceae,family,52,4,52,4,52,4,52,4
182688,uncultured Sphingobacterium sp.,species,5,0,5,0,5,0,5,0
117942,Desulfurellaceae,family,1,0,1,0,1,0,1,0
219572,Pseudomonas antarctica,species,1,0,1,0,1,0,1,0
239537,Pseudomonas sp. pfB13,species,1,0,1,0,1,0,1,0
200918,Thermotogae,phylum,10,0,10,0,10,0,10,0
649776,Synergistales,order,1,0,1,0,1,0,1,0
261763,Bradyrhizobium sp. AM45,species,65,0,65,0,65,0,65,0
58229,environmental samples,no rank,278,27,278,27,278,27,278,27
220342,Catellibacterium,genus,1,0,1,0,1,0,1,0
1007,Saprospira,genus,1,0,1,0,1,0,1,0
443089,Alkalibacterium sp. 20-340-2,species,1,0,1,0,1,0,1,0
83618,Pseudoxanthomonas,genus,9,0,9,0,9,0,9,0
508677,unclassified Synergistetes,no rank,2,1,2,1,2,1,2,1
